Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,154,0,Some Random Commen with Id 0
1,0,7,162,1,Some Random Commen with Id 1
2,0,7,154,1,Some Random Commen with Id 2
3,0,7,184,1,Some Random Commen with Id 3
4,1,6,103,2,Some Random Commen with Id 4
5,1,6,110,8,Some Random Commen with Id 5
6,1,6,112,2,Some Random Commen with Id 6
7,1,6,75,8,Some Random Commen with Id 7
8,1,6,174,4,Some Random Commen with Id 8
9,1,6,74,6,Some Random Commen with Id 9
10,1,6,155,5,Some Random Commen with Id 10
11,1,6,69,0,Some Random Commen with Id 11
12,2,4,82,1,Some Random Commen with Id 12
13,3,0,98,3,Some Random Commen with Id 13
14,3,0,44,9,Some Random Commen with Id 14
15,3,0,99,4,Some Random Commen with Id 15
16,3,0,38,8,Some Random Commen with Id 16
17,4,9,79,2,Some Random Commen with Id 17
18,5,1,3,3,Some Random Commen with Id 18
19,5,1,17,6,Some Random Commen with Id 19
20,5,1,179,3,Some Random Commen with Id 20
21,5,1,81,9,Some Random Commen with Id 21
22,5,1,7,1,Some Random Commen with Id 22
23,5,1,166,2,Some Random Commen with Id 23
24,6,3,194,8,Some Random Commen with Id 24
25,6,3,29,7,Some Random Commen with Id 25
26,6,3,147,2,Some Random Commen with Id 26
27,6,3,138,3,Some Random Commen with Id 27
28,6,3,77,2,Some Random Commen with Id 28
29,8,9,144,6,Some Random Commen with Id 29
30,8,9,98,8,Some Random Commen with Id 30
31,8,9,122,8,Some Random Commen with Id 31
32,8,9,186,5,Some Random Commen with Id 32
33,8,9,167,8,Some Random Commen with Id 33
34,8,9,154,4,Some Random Commen with Id 34
35,8,9,35,3,Some Random Commen with Id 35
36,9,7,27,2,Some Random Commen with Id 36
37,9,7,65,9,Some Random Commen with Id 37
38,10,5,90,7,Some Random Commen with Id 38
39,10,5,72,6,Some Random Commen with Id 39
40,10,5,35,7,Some Random Commen with Id 40
41,10,5,171,4,Some Random Commen with Id 41
42,10,5,172,6,Some Random Commen with Id 42
43,10,5,182,7,Some Random Commen with Id 43
44,10,5,8,3,Some Random Commen with Id 44
45,10,5,88,5,Some Random Commen with Id 45
46,11,3,4,0,Some Random Commen with Id 46
47,11,3,177,7,Some Random Commen with Id 47
48,11,3,139,9,Some Random Commen with Id 48
49,12,7,55,0,Some Random Commen with Id 49
50,12,7,98,9,Some Random Commen with Id 50
51,12,7,150,6,Some Random Commen with Id 51
52,13,7,17,4,Some Random Commen with Id 52
53,13,7,88,3,Some Random Commen with Id 53
54,13,7,56,6,Some Random Commen with Id 54
55,13,7,67,0,Some Random Commen with Id 55
56,13,7,188,0,Some Random Commen with Id 56
57,13,7,194,7,Some Random Commen with Id 57
58,13,7,97,4,Some Random Commen with Id 58
59,13,7,47,1,Some Random Commen with Id 59
60,14,2,2,5,Some Random Commen with Id 60
61,14,2,35,8,Some Random Commen with Id 61
62,14,2,195,0,Some Random Commen with Id 62
63,14,2,45,2,Some Random Commen with Id 63
64,14,2,67,0,Some Random Commen with Id 64
65,14,2,96,3,Some Random Commen with Id 65
66,14,2,127,5,Some Random Commen with Id 66
67,14,2,194,2,Some Random Commen with Id 67
68,15,3,112,7,Some Random Commen with Id 68
69,15,3,125,7,Some Random Commen with Id 69
70,15,3,15,2,Some Random Commen with Id 70
71,15,3,134,0,Some Random Commen with Id 71
72,16,7,59,2,Some Random Commen with Id 72
73,16,7,195,5,Some Random Commen with Id 73
74,16,7,81,1,Some Random Commen with Id 74
75,17,5,157,6,Some Random Commen with Id 75
76,17,5,114,3,Some Random Commen with Id 76
77,19,1,101,7,Some Random Commen with Id 77
78,19,1,31,6,Some Random Commen with Id 78
79,19,1,163,0,Some Random Commen with Id 79
80,19,1,38,9,Some Random Commen with Id 80
81,19,1,69,0,Some Random Commen with Id 81
82,19,1,107,6,Some Random Commen with Id 82
83,19,1,94,4,Some Random Commen with Id 83
84,19,1,13,5,Some Random Commen with Id 84
85,20,1,69,2,Some Random Commen with Id 85
86,20,1,26,9,Some Random Commen with Id 86
87,20,1,3,5,Some Random Commen with Id 87
88,20,1,128,5,Some Random Commen with Id 88
89,20,1,41,4,Some Random Commen with Id 89
90,20,1,24,6,Some Random Commen with Id 90
91,20,1,68,8,Some Random Commen with Id 91
92,20,1,25,0,Some Random Commen with Id 92
93,21,3,176,1,Some Random Commen with Id 93
94,21,3,5,0,Some Random Commen with Id 94
95,21,3,80,3,Some Random Commen with Id 95
96,21,3,155,9,Some Random Commen with Id 96
97,21,3,119,6,Some Random Commen with Id 97
98,21,3,135,0,Some Random Commen with Id 98
99,21,3,40,7,Some Random Commen with Id 99
100,21,3,176,2,Some Random Commen with Id 100
101,21,3,80,7,Some Random Commen with Id 101
102,22,5,79,3,Some Random Commen with Id 102
103,22,5,8,7,Some Random Commen with Id 103
104,22,5,94,6,Some Random Commen with Id 104
105,22,5,62,9,Some Random Commen with Id 105
106,23,1,107,7,Some Random Commen with Id 106
107,24,9,83,8,Some Random Commen with Id 107
108,24,9,41,1,Some Random Commen with Id 108
109,24,9,28,8,Some Random Commen with Id 109
110,24,9,14,3,Some Random Commen with Id 110
111,24,9,101,9,Some Random Commen with Id 111
112,24,9,9,4,Some Random Commen with Id 112
113,26,7,132,9,Some Random Commen with Id 113
114,26,7,127,8,Some Random Commen with Id 114
115,26,7,104,3,Some Random Commen with Id 115
116,26,7,98,0,Some Random Commen with Id 116
117,26,7,60,6,Some Random Commen with Id 117
118,26,7,34,9,Some Random Commen with Id 118
119,26,7,186,5,Some Random Commen with Id 119
120,26,7,134,1,Some Random Commen with Id 120
121,27,4,28,1,Some Random Commen with Id 121
122,27,4,42,6,Some Random Commen with Id 122
123,27,4,181,5,Some Random Commen with Id 123
124,27,4,42,2,Some Random Commen with Id 124
125,27,4,27,8,Some Random Commen with Id 125
126,27,4,84,9,Some Random Commen with Id 126
127,28,9,17,9,Some Random Commen with Id 127
128,28,9,75,4,Some Random Commen with Id 128
129,28,9,32,9,Some Random Commen with Id 129
130,28,9,57,5,Some Random Commen with Id 130
131,28,9,188,1,Some Random Commen with Id 131
132,28,9,46,4,Some Random Commen with Id 132
133,28,9,110,7,Some Random Commen with Id 133
134,28,9,167,8,Some Random Commen with Id 134
